Member_number,itemDescription,Date
3967,pasta,30-05-2015
2885,citrus fruit,15-05-2015
3935,sausage,2/7/2015
3283,whole milk,1/5/2015
3268,canned beer,6/11/2015
3677,citrus fruit,30-04-2015
3495,liquor (appetizer),27-06-2015
1410,citrus fruit,4/10/2015
2440,sausage,6/6/2015
4088,chicken,13-01-2015
2469,hamburger meat,23-09-2015
4229,sausage,6/3/2015
2728,beef,2/8/2015
4694,citrus fruit,25-01-2015
2836,UHT-milk,29-12-2015
1311,candy,12/2/2015
1760,newspapers,23-01-2015
3656,beef,2/3/2015
3720,sausage,28-05-2015
2996,frankfurter,26-09-2015
1949,canned beer,22-07-2015
4498,bottled beer,11/2/2015
2447,onions,28-12-2015
1952,tropical fruit,23-03-2015
4099,bottled water,27-01-2015
1804,beef,12/3/2015
1510,sausage,16-05-2015
2879,hair spray,18-04-2015
4899,chicken,12/3/2015
4326,pork,29-09-2015
1670,ice cream,17-05-2015
1117,meat,24-05-2015
1346,other vegetables,3/4/2015
1178,bottled water,15-11-2015
1649,tropical fruit,25-06-2015
4651,photo/film,21-06-2015
4243,sausage,2/4/2015
4429,grapes,21-07-2015
4645,domestic eggs,25-07-2015
4019,rolls/buns,24-07-2015
4459,tropical fruit,26-04-2015
3006,chicken,27-12-2015
1834,frankfurter,17-09-2015
3236,berries,4/7/2015
1765,margarine,11/3/2015
3855,tropical fruit,9/3/2015
4392,ham,28-11-2015
3330,hamburger meat,26-07-2015
1723,yogurt,2/9/2015
4110,soda,30-03-2015
2600,yogurt,28-01-2015
2946,soda,7/10/2015
2426,bottled water,8/9/2015
4170,sausage,3/5/2015
1109,citrus fruit,6/4/2015
3429,shopping bags,4/1/2015
2055,newspapers,4/2/2015
2480,frankfurter,20-09-2015
2441,sausage,30-05-2015
1054,frankfurter,4/10/2015
4818,salt,11/1/2015
3379,oil,21-01-2015
3939,curd,10/2/2015
1367,other vegetables,5/8/2015
1043,citrus fruit,10/1/2015
2231,frankfurter,17-10-2015
3235,root vegetables,28-12-2015
4554,tropical fruit,16-07-2015
3245,beef,24-01-2015
2996,berries,19-05-2015
2507,canned beer,5/1/2015
4186,whipped/sour cream,25-10-2015
3929,root vegetables,28-04-2015
3760,whole milk,22-11-2015
4928,beef,18-08-2015
4217,frozen vegetables,18-12-2015
1174,rolls/buns,11/2/2015
4103,whole milk,19-06-2015
4408,whole milk,13-03-2015
2588,citrus fruit,28-12-2015
2598,pastry,11/11/2015
1518,frankfurter,11/12/2015
2702,tropical fruit,8/4/2015
1001,frankfurter,20-01-2015
2270,berries,30-09-2015
2838,rolls/buns,10/11/2015
1683,root vegetables,26-05-2015
4040,yogurt,3/4/2015
3897,other vegetables,23-08-2015
2200,berries,11/3/2015
4073,berries,29-01-2015
3700,other vegetables,19-04-2015
3973,rolls/buns,10/6/2015
2715,ham,6/7/2015
3967,whole milk,23-11-2015
4002,tropical fruit,3/9/2015
2962,bottled water,1/3/2015
4340,butter milk,25-12-2015
2092,newspapers,6/11/2015
3143,coffee,24-05-2015
2209,bottled beer,3/10/2015
2816,onions,22-08-2015
2659,hamburger meat,1/6/2015
1588,sausage,13-10-2015
1144,hard cheese,15-10-2015
2166,sausage,10/12/2015
3300,hamburger meat,6/10/2015
3944,onions,3/1/2015
4979,coffee,24-04-2015
2630,shopping bags,21-01-2015
4240,yogurt,29-04-2015
2357,soda,8/7/2015
1743,sliced cheese,18-04-2015
2331,sausage,15-02-2015
1643,yogurt,28-04-2015
1291,domestic eggs,20-03-2015
3675,whole milk,4/7/2015
4134,meat,6/11/2015
1363,dish cleaner,21-06-2015
4212,other vegetables,1/5/2015
1500,whole milk,21-03-2015
2622,other vegetables,1/10/2015
3543,tropical fruit,18-03-2015
2525,baking powder,24-05-2015
1264,specialty bar,12/10/2015
3601,ice cream,6/7/2015
1771,frankfurter,23-03-2015
4694,canned beer,6/2/2015
1122,bottled water,21-12-2015
3507,other vegetables,12/8/2015
4524,citrus fruit,26-04-2015
3612,sausage,27-09-2015
3262,domestic eggs,11/6/2015
1897,pork,25-01-2015
1656,specialty cheese,30-10-2015
3953,pork,10/1/2015
1488,beef,21-06-2015
1652,other vegetables,17-03-2015
4953,chicken,16-09-2015
3445,soda,30-04-2015
3180,whole milk,15-03-2015
4934,rolls/buns,6/9/2015
2980,bottled beer,27-04-2015
2763,root vegetables,13-02-2015
4819,pastry,4/3/2015
3169,berries,2/7/2015
1850,citrus fruit,11/3/2015
4285,whole milk,29-12-2015
4366,soda,13-08-2015
2253,bottled water,16-06-2015
3398,tropical fruit,11/3/2015
2215,salty snack,22-07-2015
3737,bottled water,3/3/2015
2649,chocolate,28-11-2015
3203,citrus fruit,7/8/2015
4261,bottled water,16-02-2015
2435,onions,17-07-2015
2046,dessert,21-08-2015
4267,beef,11/2/2015
1086,rolls/buns,28-12-2015
1992,beef,4/1/2015
3622,soda,26-07-2015
4700,coffee,27-06-2015
2272,rolls/buns,16-05-2015
1663,pork,19-05-2015
2519,soda,3/6/2015
2639,sausage,30-10-2015
1466,beef,19-04-2015
4122,whole milk,23-10-2015
3598,pork,15-04-2015
3097,berries,10/8/2015
1873,sausage,19-09-2015
1537,bottled water,1/2/2015
3960,tropical fruit,25-03-2015
1136,herbs,15-06-2015
2453,yogurt,21-12-2015
1746,Instant food products,15-02-2015
3572,specialty chocolate,9/6/2015
3246,coffee,24-06-2015
3207,bottled beer,26-11-2015
1042,beef,12/2/2015
1176,whole milk,30-03-2015
3054,frankfurter,23-02-2015
4486,frankfurter,2/12/2015
1580,other vegetables,5/12/2015
1623,frankfurter,2/11/2015
4169,whole milk,24-11-2015
2254,frankfurter,24-01-2015
4095,other vegetables,1/11/2015
1264,bottled water,17-11-2015
3375,pork,6/1/2015
3242,bottled water,23-05-2015
2227,other vegetables,7/6/2015
3847,hamburger meat,3/12/2015
3897,hamburger meat,31-05-2015
1799,shopping bags,27-09-2015
2920,whole milk,26-04-2015
3713,ice cream,31-01-2015
4230,pastry,5/11/2015
1455,ham,18-03-2015
3687,frankfurter,18-03-2015
3869,sausage,1/8/2015
2988,bottled beer,14-10-2015
4242,bottled water,30-03-2015
4118,meat,24-12-2015
4996,dessert,24-10-2015
4489,other vegetables,4/3/2015
1199,beverages,9/11/2015
4108,ham,12/5/2015
3484,specialty bar,5/6/2015
1239,brown bread,31-08-2015
4839,whole milk,19-12-2015
4748,rolls/buns,7/5/2015
4426,bottled beer,6/6/2015
3571,pet care,11/12/2015
2852,citrus fruit,8/6/2015
3638,pork,26-05-2015
3635,other vegetables,10/3/2015
2723,white wine,7/5/2015
3495,whole milk,11/3/2015
2813,pip fruit,16-11-2015
2799,sugar,2/9/2015
4723,tropical fruit,22-05-2015
3313,root vegetables,8/4/2015
4748,soda,15-12-2015
2991,whole milk,16-02-2015
1483,tropical fruit,1/4/2015
3950,white bread,1/10/2015
1634,brown bread,16-01-2015
2694,tropical fruit,21-11-2015
2707,domestic eggs,18-10-2015
2813,coffee,16-07-2015
2276,soda,11/1/2015
4726,whole milk,6/2/2015
4353,bottled beer,25-05-2015
4017,pork,13-08-2015
1422,other vegetables,21-08-2015
2714,yogurt,15-03-2015
2769,sparkling wine,21-07-2015
4166,bottled water,30-04-2015
3614,citrus fruit,2/3/2015
4361,hamburger meat,5/9/2015
1922,packaged fruit/vegetables,22-09-2015
4728,other vegetables,6/9/2015
3646,soda,8/8/2015
1155,whole milk,10/8/2015
2119,herbs,11/6/2015
1602,citrus fruit,29-08-2015
1074,misc. beverages,24-06-2015
2256,female sanitary products,11/4/2015
1348,soda,17-09-2015
3806,tropical fruit,28-08-2015
1711,soda,6/6/2015
3959,white bread,12/4/2015
1590,coffee,15-08-2015
1962,tropical fruit,8/6/2015
1766,pork,21-01-2015
2551,citrus fruit,21-10-2015
2294,frankfurter,23-09-2015
4531,frankfurter,29-05-2015
2957,frankfurter,12/4/2015
4415,other vegetables,27-01-2015
1476,yogurt,26-08-2015
3978,sausage,23-07-2015
2062,whole milk,22-09-2015
3252,pip fruit,28-06-2015
3922,whole milk,24-06-2015
1491,root vegetables,17-10-2015
3526,onions,26-08-2015
4060,specialty chocolate,11/12/2015
1067,hamburger meat,8/4/2015
2840,photo/film,27-01-2015
4484,rolls/buns,27-11-2015
2353,canned beer,7/2/2015
3130,canned beer,18-02-2015
4273,other vegetables,14-06-2015
4565,canned beer,30-12-2015
2504,curd,14-08-2015
4127,butter,23-10-2015
2690,other vegetables,1/4/2015
4129,whole milk,22-09-2015
4511,beef,29-06-2015
1602,sausage,4/8/2015
4369,soda,1/2/2015
1302,fruit/vegetable juice,29-09-2015
3326,rolls/buns,30-04-2015
2066,pip fruit,21-05-2015
3483,frozen vegetables,15-01-2015
2840,beverages,12/2/2015
1807,hamburger meat,18-05-2015
2067,root vegetables,12/8/2015
3783,canned beer,17-02-2015
2884,frozen vegetables,4/1/2015
2908,canned beer,15-03-2015
1330,newspapers,10/7/2015
2293,rolls/buns,8/5/2015
3718,hamburger meat,20-05-2015
4338,pip fruit,25-01-2015
3486,canned beer,8/11/2015
3635,grapes,4/9/2015
2857,root vegetables,18-02-2015
3684,citrus fruit,13-08-2015
3120,cling film/bags,20-10-2015
3872,frankfurter,19-03-2015
2777,whole milk,7/4/2015
2702,pork,27-05-2015
4796,chicken,29-06-2015
1564,sausage,23-10-2015
2740,specialty bar,2/7/2015
1833,whipped/sour cream,13-04-2015
1757,root vegetables,23-12-2015
2975,rolls/buns,24-10-2015
4032,other vegetables,10/8/2015
3979,citrus fruit,16-09-2015
3772,whole milk,9/3/2015
4523,frankfurter,28-10-2015
4004,coffee,19-04-2015
2936,ham,8/6/2015
2394,canned beer,21-06-2015
4616,canned beer,16-08-2015
2362,canned beer,8/7/2015
3593,pip fruit,3/11/2015
4389,pork,27-08-2015
3206,soap,11/8/2015
4601,pip fruit,4/1/2015
4382,beef,13-11-2015
2718,sausage,8/6/2015
4691,frozen chicken,12/10/2015
3735,soda,28-11-2015
3900,tropical fruit,20-12-2015
4959,other vegetables,30-06-2015
1815,beef,30-08-2015
2454,meat,8/4/2015
4778,meat,15-01-2015
2289,bottled water,4/11/2015
1734,rolls/buns,13-07-2015
4019,pastry,5/2/2015
4605,pork,28-05-2015
4864,pip fruit,14-11-2015
4205,beef,22-02-2015
1862,beef,3/8/2015
1846,rolls/buns,19-07-2015
2019,citrus fruit,28-05-2015
2042,meat,19-11-2015
1768,beverages,26-05-2015
3847,beef,26-03-2015
3557,ham,20-07-2015
3975,hamburger meat,27-02-2015
4198,beef,18-03-2015
2580,beef,4/9/2015
3474,root vegetables,25-08-2015
1678,citrus fruit,14-11-2015
4254,yogurt,14-08-2015
4704,tropical fruit,21-08-2015
3343,frankfurter,10/5/2015
3812,beef,24-06-2015
3093,shopping bags,13-03-2015
2170,canned beer,18-06-2015
4867,rolls/buns,29-10-2015
3899,other vegetables,23-03-2015
2941,hamburger meat,3/10/2015
1958,hamburger meat,3/7/2015
2760,frankfurter,8/8/2015
4413,bottled beer,3/8/2015
1737,tropical fruit,15-05-2015
4202,soda,18-02-2015
1065,frankfurter,13-11-2015
3819,chicken,28-06-2015
2854,coffee,8/2/2015
4387,whole milk,16-09-2015
4530,margarine,12/4/2015
4191,tropical fruit,3/11/2015
3102,meat,4/12/2015
1946,cream cheese ,25-01-2015
2156,newspapers,15-05-2015
1444,rolls/buns,16-12-2015
1699,citrus fruit,14-05-2015
4954,whole milk,4/5/2015
2207,frankfurter,8/4/2015
4826,ham,28-01-2015
2374,frankfurter,8/6/2015
1604,sausage,18-08-2015
4437,domestic eggs,29-11-2015
2319,whole milk,10/5/2015
3018,rolls/buns,27-06-2015
1195,whole milk,28-09-2015
1768,sausage,4/9/2015
3017,curd,28-09-2015
3384,bottled water,29-11-2015
1918,beef,30-01-2015
2524,frankfurter,17-10-2015
2798,chicken,17-06-2015
2096,sausage,25-01-2015
1489,pork,13-03-2015
1431,yogurt,20-07-2015
2747,whole milk,5/7/2015
3054,frankfurter,22-03-2015
2691,beef,9/10/2015
1752,pip fruit,19-04-2015
3027,sausage,15-09-2015
4452,pastry,17-06-2015
4129,chicken,13-08-2015
3523,root vegetables,9/11/2015
2128,whole milk,11/2/2015
4867,detergent,3/2/2015
4762,rolls/buns,30-10-2015
1632,house keeping products,29-05-2015
4018,yogurt,17-11-2015
1722,tropical fruit,13-07-2015
1438,tropical fruit,19-10-2015
3958,curd,27-10-2015
3292,beef,13-09-2015
2861,whole milk,23-02-2015
1757,pork,24-02-2015
1509,other vegetables,30-12-2015
2364,rolls/buns,11/5/2015
3084,frankfurter,26-10-2015
1850,yogurt,17-02-2015
1949,whole milk,17-03-2015
4740,bottled water,2/10/2015
1072,frankfurter,23-10-2015
4196,rolls/buns,9/7/2015
4814,whole milk,13-09-2015
1514,rolls/buns,28-02-2015
4584,chicken,25-10-2015
2751,tropical fruit,3/2/2015
4155,sausage,24-09-2015
4670,sausage,11/10/2015
4566,frankfurter,27-07-2015
2371,UHT-milk,30-08-2015
3442,rolls/buns,14-11-2015
3090,canned beer,27-09-2015
1457,yogurt,9/1/2015
4952,whipped/sour cream,8/4/2015
3165,rolls/buns,11/1/2015
2608,rolls/buns,19-09-2015
2040,beverages,7/10/2015
1327,rolls/buns,9/8/2015
3363,rolls/buns,7/1/2015
1731,bottled beer,9/9/2015
2760,citrus fruit,2/8/2015
3120,bottled water,14-01-2015
1332,pastry,30-04-2015
4530,domestic eggs,12/9/2015
3145,beef,23-02-2015
1099,spread cheese,13-08-2015
3188,tropical fruit,6/12/2015
3748,packaged fruit/vegetables,13-10-2015
4655,whole milk,31-03-2015
1827,meat,1/5/2015
2485,onions,17-02-2015
4683,frankfurter,15-01-2015
4358,beef,6/11/2015
1931,beef,9/10/2015
2490,sausage,18-12-2015
4842,chicken,8/12/2015
4616,canned beer,1/1/2015
2810,sausage,22-09-2015
2785,tropical fruit,18-10-2015
3591,frankfurter,20-07-2015
3896,sausage,10/9/2015
3842,beef,1/7/2015
2648,tropical fruit,10/7/2015
4688,yogurt,2/10/2015
3511,frankfurter,26-08-2015
3084,bottled beer,4/9/2015
3810,grapes,7/5/2015
4348,beverages,26-02-2015
3584,curd,10/3/2015
2620,ice cream,11/6/2015
2716,sausage,18-01-2015
3797,other vegetables,10/8/2015
2976,dessert,2/6/2015
2762,decalcifier,7/11/2015
3752,canned beer,25-04-2015
1659,coffee,30-11-2015
4109,berries,8/2/2015
1542,pork,7/8/2015
2068,frankfurter,7/6/2015
4509,pork,14-06-2015
4646,frankfurter,14-06-2015
2122,frozen dessert,7/4/2015
2730,chicken,15-06-2015
1800,vinegar,31-07-2015
1456,rolls/buns,18-09-2015
1138,whole milk,2/9/2015
4104,pork,12/6/2015
4985,rolls/buns,28-02-2015
3181,grapes,13-12-2015
3178,frankfurter,21-10-2015
1688,finished products,10/11/2015
1488,onions,28-11-2015
4975,tropical fruit,8/5/2015
4697,other vegetables,9/1/2015
4742,ham,11/1/2015
2640,other vegetables,22-04-2015
2548,curd,25-12-2015
2825,sausage,29-12-2015
2592,canned beer,4/7/2015
3622,ham,28-12-2015
4852,packaged fruit/vegetables,21-08-2015
1839,meat,3/9/2015
2413,whole milk,4/4/2015
2982,canned beer,14-06-2015
1981,chicken,31-10-2015
4440,rolls/buns,21-09-2015
3497,pet care,24-11-2015
3668,root vegetables,18-12-2015
4460,pastry,28-05-2015
1335,frankfurter,16-01-2015
4303,chicken,7/12/2015
3508,frozen dessert,28-02-2015
1959,citrus fruit,19-03-2015
3856,sausage,6/3/2015
3141,root vegetables,29-07-2015
4640,root vegetables,25-09-2015
4851,bottled beer,25-05-2015
3306,frankfurter,22-09-2015
2193,root vegetables,8/4/2015
1156,berries,13-09-2015
4596,hamburger meat,8/4/2015
1245,tropical fruit,8/10/2015
1515,frankfurter,5/7/2015
2564,frankfurter,14-07-2015
4527,soda,18-10-2015
2487,ice cream,9/7/2015
3420,beef,27-02-2015
4442,whole milk,28-11-2015
3164,pork,30-04-2015
3601,whole milk,1/4/2015
3176,bottled beer,25-05-2015
2568,pork,22-07-2015
1856,root vegetables,26-10-2015
3859,canned beer,30-09-2015
1668,citrus fruit,21-08-2015
4499,pip fruit,23-08-2015
1753,root vegetables,21-08-2015
3829,tropical fruit,25-06-2015
4825,beef,8/1/2015
3694,chicken,10/11/2015
4147,citrus fruit,2/1/2015
2196,meat,9/10/2015
2229,cream cheese ,22-05-2015
4724,citrus fruit,3/9/2015
3066,specialty bar,11/10/2015
1120,meat,8/6/2015
4769,citrus fruit,22-08-2015
4711,frankfurter,17-09-2015
2391,citrus fruit,22-06-2015
1216,turkey,4/3/2015
3154,citrus fruit,14-05-2015
3911,sausage,30-07-2015
3111,newspapers,15-10-2015
1385,whole milk,26-11-2015
1158,yogurt,21-03-2015
2733,yogurt,22-07-2015
4999,bottled water,26-12-2015
2882,berries,12/6/2015
2590,packaged fruit/vegetables,25-06-2015
4249,frankfurter,4/8/2015
3012,nuts/prunes,3/5/2015
1533,citrus fruit,7/11/2015
1667,beef,12/1/2015
4323,whole milk,13-05-2015
2087,other vegetables,22-02-2015
1853,beef,31-05-2015
2157,fish,29-10-2015
1136,other vegetables,29-10-2015
2049,tropical fruit,7/10/2015
3122,coffee,2/5/2015
2245,sausage,15-05-2015
4746,meat,18-10-2015
4224,chicken,24-02-2015
4219,berries,19-03-2015
2641,frozen meals,1/1/2015
3173,whipped/sour cream,25-07-2015
2191,beef,19-10-2015
4212,chicken,7/4/2015
1902,chicken,1/12/2015
1347,beef,27-03-2015
1578,packaged fruit/vegetables,23-06-2015
1264,sugar,23-11-2015
4632,frankfurter,30-09-2015
3452,berries,1/11/2015
4822,bottled water,10/2/2015
3987,sausage,18-06-2015
1672,whole milk,7/10/2015
4864,ice cream,1/12/2015
3368,frankfurter,9/3/2015
1283,root vegetables,22-09-2015
4428,sausage,28-06-2015
2577,sausage,25-10-2015
1973,beef,24-10-2015
3284,fruit/vegetable juice,23-01-2015
1905,sugar,19-05-2015
2226,berries,9/3/2015
1932,yogurt,4/9/2015
4506,pork,11/8/2015
1843,bottled beer,27-11-2015
3973,curd,27-07-2015
1651,beef,28-07-2015
3997,pork,12/10/2015
4796,white bread,25-08-2015
1245,grapes,24-09-2015
3579,potato products,17-08-2015
4387,root vegetables,10/2/2015
2496,chicken,29-06-2015
3590,chicken,28-03-2015
2890,fish,26-04-2015
1401,canned beer,27-01-2015
3297,other vegetables,21-05-2015
2867,chicken,23-12-2015
1365,other vegetables,20-05-2015
2355,tropical fruit,24-07-2015
1170,whole milk,19-03-2015
3554,beef,21-03-2015
4171,sausage,26-01-2015
3963,whole milk,17-09-2015
3076,rolls/buns,8/12/2015
1629,citrus fruit,17-05-2015
1366,whole milk,30-05-2015
3677,pastry,29-07-2015
2844,tropical fruit,21-05-2015
4509,sliced cheese,28-09-2015
3245,soda,11/5/2015
2294,ham,22-06-2015
1234,salty snack,20-11-2015
3001,whole milk,24-12-2015
3587,root vegetables,5/8/2015
2700,soda,22-01-2015
3838,curd,14-12-2015
4045,bottled water,22-12-2015
1858,packaged fruit/vegetables,25-04-2015
2280,tropical fruit,11/1/2015
2454,ham,6/4/2015
4437,pork,9/10/2015
1685,beverages,30-03-2015
