Month,OilOpen,OilHigh,OilLow,OilClose,OilAdjClose,OilVolume,GoldOpen,GoldHigh,GoldLow,GoldClose,GoldAdjClose,GoldVolume
3/1/09,16.47,20.98,15.56,18.88,18.88,67737100,45.02,55.25,41.24,54.35,51.7,24571700
3/31/09,18.27,20.34,17,18.56,18.56,39224300,54.72,56.89,40.41,48.4,46.04,24652100
4/30/09,18.87,24,18.84,24,24,36526000,48.96,73.27,48.6,69.81,66.41,30785800
5/31/09,24.4,26.44,23.4,25.03,25.03,35860100,71.94,74.21,61.62,64.17,61.05,34339400
6/30/09,25.55,25.67,20.65,24.23,24.23,24518200,66.1,67.73,56.83,62.12,59.1,25580200
7/31/09,25,25.65,22.99,23.79,23.79,21894800,64.33,65.5,55.06,58.81,55.95,17970400
8/31/09,23.84,24.96,22.14,23.8,23.8,21194300,57.9,76.08,56.78,69.88,66.48,40155000
9/30/09,23.92,27.76,23.03,26,26,19350300,68.85,76.97,63.57,66.71,63.46,36050700
10/31/09,26,27.41,24.56,25.87,25.87,13119700,68.12,87.9,66.5,84.74,80.62,35621000
12/1/09,26.36,26.45,23.18,25.88,25.88,18776300,86.69,90.3,77.78,79.14,75.29,31123300
1/1/10,26.41,27.22,23.38,23.49,23.49,15061800,82.25,86.63,68.59,68.93,65.57,18381700
2/1/10,23.68,25.9,22.37,25.65,25.65,20645500,70.39,74.81,64.91,72.01,68.5,19612600
3/1/10,25.78,26.86,25.08,26.66,26.66,12861600,71.28,79.06,71.15,76.83,73.27,21253700
3/31/10,27.08,27.95,25.91,27.29,27.29,12640300,78.64,86.11,77.39,84.24,80.33,18039400
4/30/10,27.29,27.67,20.01,22.11,22.11,26867800,84.79,91.75,78.5,87.45,83.4,26101100
5/31/10,21.88,23.5,21.05,22.09,22.09,12495000,88.79,99.67,85.01,94.75,90.36,24834700
6/30/10,21.86,23.19,20.93,23.02,23.02,10048800,94.71,96.21,87.08,89.88,85.71,16423500
7/31/10,23.62,24.26,20.4,20.7,20.7,15886600,90.38,93.74,85.11,92.49,88.2,14047600
8/31/10,21.08,22.87,20.98,22.78,22.78,9851100,93.58,104.22,90.74,101.46,96.76,14579000
9/30/10,23.13,24.03,22.59,23.02,23.02,8963000,102.11,106.44,90.48,93.92,89.57,16825500
10/31/10,23.66,25,22.61,23.64,23.64,11836400,94.8,101.92,92,94.06,89.7,15720900
12/1/10,24.05,25.81,23.95,25.61,25.61,10372100,94.89,95.72,80.66,82.33,78.51,17047700
1/1/11,25.88,25.96,23.58,25.44,25.44,18619300,82.6,83.55,75.05,76.49,72.94,20252400
2/1/11,25.5,26.82,23.1,25.85,25.85,32763100,77.48,83.55,76.85,80.95,77.2,14345900
3/1/11,26.06,28.36,25.81,28.2,28.2,42002500,82.16,82.79,70.18,81.54,77.76,19368700
3/31/11,28.26,30.1,27.85,29.98,29.98,16385900,81.07,88.68,80.6,86.57,82.56,15349000
4/30/11,29.84,30.27,24.82,26.77,26.77,23339800,85.89,86.34,74.53,81.96,78.16,13570500
5/31/11,26.81,26.81,23.03,24.47,24.47,15229800,81.83,84.48,73.1,84.05,80.35,13916900
6/30/11,24.28,25.87,24.09,24.6,24.6,16608700,83.33,93.57,82.05,90.81,86.82,12402200
7/31/11,25.3,25.35,19.73,22.6,22.6,25338500,90.59,114.5,89.43,105.55,100.91,30925600
8/31/11,22.56,23,19.63,19.84,19.84,13162600,104.62,115,92.5,96.72,92.47,20263600
9/30/11,19.49,23.97,18.87,23.48,23.48,12972400,100.06,114.58,89.9,109.57,104.75,13664800
10/31/11,22.7,26.23,22.64,25.57,25.57,12816400,106.56,120.73,95.75,106.91,102.21,15869600
12/1/11,25.49,26.08,23.45,25.12,25.12,9668500,106.72,109.64,97.15,102.1,97.61,11685300
1/1/12,25.89,26.38,24.74,24.94,24.94,11238700,105.69,115.44,105.21,114.41,109.38,9104700
2/1/12,25.18,27.9,24.15,27.17,27.17,21674000,115.81,119.73,108.63,114.73,109.69,9673400
3/1/12,27.28,28.08,25.64,25.88,25.88,17137000,115.69,117.28,85.33,87.98,84.11,24018900
3/31/12,25.67,26.5,25.24,26.17,26.17,12247500,85,92.53,80.14,89.15,85.23,16552000
4/30/12,26.14,26.61,21.11,21.27,21.27,17236200,87.26,88.83,72.91,79.35,75.86,16215700
5/31/12,20.61,21.42,18.82,20.7,20.7,16797500,80.58,96.7,80.58,90.01,86.5,18522700
6/30/12,20.45,22.82,20.06,21.34,21.34,14505000,89.89,94.1,82.52,89.48,85.99,10233400
7/31/12,21.56,23.94,21.17,23.55,23.55,16332900,89.73,103.61,86.85,102.97,98.95,9860200
8/31/12,23.59,24.44,21.53,22.32,22.32,12545800,102.1,124.8,100.68,123,118.2,16199100
9/30/12,22.55,22.73,20.42,20.75,20.75,11748600,123.43,127.27,116.74,119.59,114.92,11386200
10/31/12,20.76,21.52,20.2,21.27,21.27,10821900,119.73,122.29,100.06,107.36,103.17,11530300
12/1/12,21.6,21.86,20.35,21.79,21.79,9421600,107.62,107.86,96.26,99.21,95.34,9636500
1/1/13,22.26,23.3,21.93,23.13,23.13,7836800,101.14,102.02,91.91,94.16,90.49,10358400
2/1/13,22.96,23.3,21.5,21.57,21.57,7745500,95.85,100.78,81.31,82.87,79.64,10743400
3/1/13,21.29,22.82,20.94,22.77,22.77,8229900,81.88,86.66,79.51,85.98,82.62,11920800
3/31/13,22.54,22.91,20.06,21.67,21.67,13853700,85.64,85.69,66.51,81.78,78.59,22058800
4/30/13,21.12,22.66,20.93,21.27,21.27,13902500,80.9,81.53,70.92,78.38,75.32,19130000
5/31/13,21.5,22.99,21.39,22.35,22.35,8184300,78.5,80.5,60.44,64,61.9,18980500
6/30/13,22.68,25.51,22.58,24.63,24.63,14676300,63.82,75.41,60.17,74.27,71.83,23975900
7/31/13,25.18,26.16,23.96,25.47,25.47,15099900,75.1,84.61,66.05,78.02,75.46,22056400
8/31/13,25.32,26.17,23.93,24.23,24.23,10843600,79.68,80.43,69.79,71.53,69.18,20030900
9/30/13,24.06,24.77,22.64,22.71,22.71,9670200,69.6,79.77,67.68,73.9,71.47,17180400
10/31/13,22.53,22.53,21.46,21.82,21.82,9638100,73.15,79.33,67.52,70.75,68.43,18329200
12/1/13,21.82,23.63,21.79,23.12,23.12,6053300,69.09,69.25,60.9,62.81,60.75,16498500
1/1/14,22.69,23.02,21.3,22.74,22.74,11345400,63.37,71.5,59.19,68.9,66.64,17778400
2/1/14,22.74,24.37,22.44,24.13,24.13,4968400,71.8,81.89,70.11,79.04,76.44,17329300
3/1/14,24.59,24.84,22.88,23.98,23.98,6096900,82.13,85.48,74.04,75,72.54,16355600
3/31/14,23.89,24.86,23.36,23.83,23.83,7143500,74.95,81.63,74.6,80.07,77.92,13332900
4/30/14,23.62,25.13,23.58,24.71,24.71,4026900,79.12,81.35,72.69,73.93,71.94,8279000
5/31/14,24.61,25.96,24.39,25.57,25.57,5088000,73.56,84.89,72.14,84.6,82.33,10814900
6/30/14,25.68,25.75,23.76,23.79,23.79,4550800,85.6,89.89,84.48,86.14,83.83,11977000
7/31/14,23.64,23.95,22.58,23.43,23.43,3761100,85.61,86.92,80.06,84.15,81.89,9450400
8/31/14,23.1,23.41,22.11,22.44,22.44,4947000,83.05,83.33,67.35,67.59,65.77,15406500
9/30/14,22.58,22.86,19.46,19.79,19.79,11746300,67.44,70.91,58,58.21,56.65,25224100
10/31/14,19.68,19.84,16.15,16.21,16.21,10803000,60.16,71.36,58.4,64.68,62.94,23387700
12/1/14,16.02,16.77,12.18,12.54,12.54,47679100,66.48,69.52,61.11,67.41,65.6,20634300
1/1/15,12.24,12.52,9.66,10.68,10.68,83725800,66.83,85.84,66.69,85.26,82.97,24445200
2/1/15,11.1,12.45,10.59,10.95,10.95,114303400,83.64,85.46,75.12,79.19,77.06,14853300
3/1/15,10.93,11.59,9.24,10.05,10.05,118296900,79,79.33,66.45,69.27,67.41,19591300
3/31/15,10.15,12.49,10.13,12.46,12.46,92892300,69.74,78.9,69.36,76.17,74.77,13508200
4/30/15,12.32,13.17,11.51,12.35,12.35,69175100,75.33,77.79,70.56,72.23,70.9,9853900
5/31/15,12.36,12.68,11.59,12.05,12.05,62398900,72.25,73.69,66.9,66.95,65.72,10270400
6/30/15,11.82,11.82,9.11,9.17,9.17,82944200,66.04,67.62,57.06,60.37,59.26,15740000
7/31/15,8.97,9.36,6.9,9.18,9.18,124540400,59.09,68.12,57.85,60.29,59.18,20009400
8/31/15,8.88,9.16,8.02,8.46,8.46,78895600,60.28,61.2,54.88,58.83,57.75,45230300
9/30/15,8.75,9.44,8.03,8.59,8.59,65917000,60.27,72.07,58.34,67,65.77,25996000
10/31/15,8.59,8.95,7.48,7.52,7.52,61963000,66.12,67.2,58.77,64.92,63.73,18835800
12/1/15,7.51,7.62,6.01,6.23,6.23,87049900,61.68,65.35,59.08,61.93,60.79,19281100
1/1/16,6.41,6.52,4.47,5.12,5.12,144873400,63.03,70.78,59.96,70.72,69.42,15315400
2/1/16,4.93,5.2,4.3,4.82,4.82,70859000,72,93.67,71.59,91.25,89.57,25789800
3/1/16,4.82,5.85,4.76,5.12,5.12,66775300,89.89,96.5,86.61,90.81,89.14,20631300
3/31/16,4.95,6.21,4.79,6.05,6.05,66248600,88.1,100.52,87.95,100.5,99.36,17955300
4/30/16,6.01,6.63,5.59,6.43,6.43,47623400,101.28,101.6,82.85,84.31,83.35,21692600
5/31/16,6.3,6.85,5.85,6.25,6.25,53116900,85.39,112.13,83.63,112.04,110.77,23995500
6/30/16,6.21,6.39,5.07,5.23,5.23,56492900,117.18,126.55,110.73,117.61,116.28,24301200
7/31/16,5.12,6.11,4.88,5.53,5.53,68377200,117.61,120.72,93.03,93.65,92.59,21312000
8/31/16,5.41,5.95,5.24,5.83,5.83,68133100,93.47,106.01,93.32,100.07,98.94,18576300
9/30/16,5.87,6.41,5.6,5.6,5.6,53467600,100.72,100.93,82.49,88.73,87.72,21382000
10/31/16,5.68,5.94,5.1,5.82,5.82,65035700,90.34,93.87,69.6,71.88,71.07,30061300
12/1/16,6.08,6.49,5.92,6.33,6.33,58911500,70.48,80.6,67.54,76.34,75.48,20886500
1/1/17,6.52,6.53,5.93,6.06,6.06,51451800,77.66,86.39,77.16,84.94,83.98,20765600
2/1/17,6.14,6.28,5.92,6.14,6.14,53698800,84.06,96.13,83.38,91.71,90.67,17656000
3/1/17,6.18,6.2,5.05,5.58,5.58,62069600,91.18,92.78,83.18,87.28,86.29,18976600
3/31/17,5.57,6,5.14,5.29,5.29,36941900,86.84,94.9,85.6,87.99,87.99,13544200
4/30/17,5.26,5.61,4.77,5.1,5.1,69343800,87.35,97.24,83.75,94.82,94.82,16379800
5/31/17,5.11,5.22,4.45,4.86,4.86,83534800,94.5,99.78,87.63,88.46,88.46,13278900
6/30/17,4.89,5.34,4.5,5.33,5.33,67634700,87.15,93.48,85.51,87.37,87.37,12966800
7/31/17,5.25,5.3,4.7,4.86,4.86,54598200,92.8,103.63,92.24,102.49,102.49,22190000
8/31/17,4.86,5.55,4.8,5.38,5.38,54197700,103.55,108.29,97.56,97.66,97.66,9814900
9/30/17,5.22,5.77,5.05,5.74,5.74,46632800,97.63,100.9,95.66,98.27,98.27,7675300
10/31/17,5.82,6.37,5.68,6.13,6.13,52694300,98.71,99.35,89.79,91.76,91.76,10297700
12/1/17,6.27,6.59,5.94,6.54,6.54,30423800,91.6,99.53,89.72,98.89,98.89,8314700
1/1/18,6.58,7.21,6.54,7.08,7.08,27099800,100.71,101.2,95.6,99.3,99.3,4306600
